id,title,author,follower_count,medium_url,clap_count,published_at,image_url,reading_time,uniqueSlug,isLocked
41baeedd42b6,"I'm a fashion designer, some clients can be a bit stressful to handle",Georgina Odafe,1195,https://georginaodafe.medium.com/im-a-fashion-designer-some-clients-can-be-a-bit-stressful-to-handle-41baeedd42b6,12,1711966770136,,0.04905660377358491,im-a-fashion-designer-some-clients-can-be-a-bit-stressful-to-handle-41baeedd42b6,False
2d3095e81b4f,"What kind of hurts is when we dress for style, for fashion, and it’s misread.",Belcairn,1375,https://belcairn.medium.com/what-kind-of-hurts-is-when-we-dress-for-style-for-fashion-and-its-misread-2d3095e81b4f,12,1712854142574,,0.07547169811320754,what-kind-of-hurts-is-when-we-dress-for-style-for-fashion-and-its-misread-2d3095e81b4f,False
1bb426dc7663,I’m amazed that you could fashion a really interesting article out of beer and Barbie.,Royal Alvis,1259,https://medium.com/@royalalvis/im-amazed-that-you-could-fashion-a-really-interesting-article-out-of-beer-and-barbie-1bb426dc7663,5,1713197875729,,0.0830188679245283,im-amazed-that-you-could-fashion-a-really-interesting-article-out-of-beer-and-barbie-1bb426dc7663,False
137a0b3c8a3f,Re-Thinking E-commerce: How SHEIN could become the Youtube of Fashion.,Björn Ognibeni,694,https://ognibeni.medium.com/re-thinking-e-commerce-how-shein-could-become-the-youtube-of-fashion-137a0b3c8a3f,3,1712184639274,1*unljkAfkKRBs7hAtAT1YeQ.jpeg,2.1849056603773587,re-thinking-e-commerce-how-shein-could-become-the-youtube-of-fashion-137a0b3c8a3f,True
11ef0d303814,Yes it really does! Fashion is so fun.,Sara Flower,1009,https://medium.com/@sarakjeldsen/yes-it-really-does-fashion-is-so-fun-11ef0d303814,22,1712595133097,,0.03018867924528302,yes-it-really-does-fashion-is-so-fun-11ef0d303814,False
ffc5f7520920,I think it would be interesting to tour the reality of acquiring women's clothes/fashion...,Sharon Johnson,2152,https://medium.com/@sharonjo1411/i-think-it-would-be-interesting-to-tour-the-reality-of-acquiring-womens-clothes-fashion-ffc5f7520920,0,1714249496568,,0.09811320754716982,i-think-it-would-be-interesting-to-tour-the-reality-of-acquiring-womens-clothes-fashion-ffc5f7520920,False
ff8083e2db1c,Discovering the Essence: How Midjourney Sparks Parisian Fashion Inspiration,Adair Lee,540,https://webtrending.medium.com/discovering-the-essence-how-midjourney-sparks-parisian-fashion-inspiration-ff8083e2db1c,0,1714102089505,1*A21YB6PXBcnJTKSew4YgOA.png,4.119811320754717,discovering-the-essence-how-midjourney-sparks-parisian-fashion-inspiration-ff8083e2db1c,True
fe762234aaf9,How Midjourney Transformed the Midnight Purple Mod Fashion Photography Scene,Adair Lee,540,https://webtrending.medium.com/how-midjourney-transformed-the-midnight-purple-mod-fashion-photography-scene-fe762234aaf9,1,1712512142930,1*c0kZq0uDgDnAAl8XJJD3FQ.png,3.3160377358490565,how-midjourney-transformed-the-midnight-purple-mod-fashion-photography-scene-fe762234aaf9,True
fe18c2049830,How Midjourney is Redefining Fashion Photography,Adair Lee,540,https://webtrending.medium.com/how-midjourney-is-redefining-fashion-photography-fe18c2049830,1,1712513135057,1*zhF_s53PjNOg94E6f-qkbA.png,2.8632075471698113,how-midjourney-is-redefining-fashion-photography-fe18c2049830,True
fc343d12feac,"Advances in fashion fueled by technology: eco-friendly products, live performance.",Rajesh Poovathum Kadavil,3195,https://medium.com/@rajesh.pkadavil/advances-in-fashion-fueled-by-technology-eco-friendly-products-live-performance-fc343d12feac,0,1713359070862,,0.06415094339622641,advances-in-fashion-fueled-by-technology-eco-friendly-products-live-performance-fc343d12feac,False
fa08d43ce087,OMG! So resonated and made me think of my dad and his distinct and old-fashion way of dressing.,Mike Butler,7913,https://medium.com/@mlbutler_38162/omg-so-resonated-and-made-me-think-of-my-dad-and-his-distinct-and-old-fashion-way-of-dressing-fa08d43ce087,0,1712530865420,,0.0830188679245283,omg-so-resonated-and-made-me-think-of-my-dad-and-his-distinct-and-old-fashion-way-of-dressing-fa08d43ce087,False
f9b50b0d76b3,Exploring the How of Fashion Evolution with Midjourney,Adair Lee,540,https://webtrending.medium.com/exploring-the-how-of-fashion-evolution-with-midjourney-f9b50b0d76b3,0,1712840632809,1*OhSuM8dINmfvN94HCMqe-g.png,3.6141509433962264,exploring-the-how-of-fashion-evolution-with-midjourney-f9b50b0d76b3,True
f5d8859525e4,Fashion and Poetry,Shirley Jones Luke,653,https://shirleyjonesluke.medium.com/fashion-and-poetry-f5d8859525e4,1,1712187987776,0*vu0oFRfpK06yieCU,0.49056603773584906,fashion-and-poetry-f5d8859525e4,True
f5b065210cca,And that was the start of a new fashion...,Chrysa stergiou,1735,https://medium.com/@chrysoula72/and-that-was-the-start-of-a-new-fashion-f5b065210cca,24,1713808988060,,0.1018867924528302,and-that-was-the-start-of-a-new-fashion-f5b065210cca,False
f4b66bd809c0,It is strange to think about 1960–and you’ve given me an idea to write about fashion over the…,"Frances A. Chiu, Ph.D. | writing coach | editor",1380,https://medium.com/@francesachiu/it-is-strange-to-think-about-1960-and-youve-given-me-an-idea-to-write-about-fashion-over-the-f4b66bd809c0,0,1712577296300,,0.07169811320754717,it-is-strange-to-think-about-1960-and-youve-given-me-an-idea-to-write-about-fashion-over-the-f4b66bd809c0,False
